Store_ID,Brand,Month,Net_Sales,Transactions,Avg_Check,Food_Cost_%,Labor_Cost_%,Royalty_%,Marketing_Fee_%,Food_Cost,Labor_Cost,Royalty,Marketing_Fee,Rent,Utilities,Other_OpEx,EBITDA
1000,Maple Grill,2022-01-01,54628,2360,23.15,31.19,30.76,5.0,3.0,17038.47,16803.57,2731.4,1638.84,7062.32,2264.14,1605.42,5483.84
1000,Maple Grill,2022-02-01,96308,4566,21.09,34.56,26.81,5.0,3.0,33284.04,25820.17,4815.4,2889.24,5466.73,2418.15,2468.09,19146.18
1000,Maple Grill,2022-03-01,52063,3242,16.06,32.55,26.81,5.0,3.0,16946.51,13958.09,2603.15,1561.89,5464.78,2048.73,2557.18,6922.67
1000,Maple Grill,2022-04-01,58904,2370,24.85,29.32,30.25,5.0,3.0,17270.65,17818.46,2945.2,1767.12,4876.84,1272.62,1431.94,11521.17
1000,Maple Grill,2022-05-01,112172,5474,20.49,31.27,26.01,5.0,3.0,35076.18,29175.94,5608.6,3365.16,7790.88,1489.41,1712.69,27953.14
1000,Maple Grill,2022-06-01,66693,3980,16.76,32.78,31.98,5.0,3.0,21861.97,21328.42,3334.65,2000.79,5985.0,2288.57,1623.19,8270.41
1000,Maple Grill,2022-07-01,148441,6212,23.9,30.18,27.31,5.0,3.0,44799.49,40539.24,7422.05,4453.23,4455.94,1264.46,1317.73,44188.86
1000,Maple Grill,2022-08-01,90733,3788,23.95,35.31,29.8,5.0,3.0,32037.82,27038.43,4536.65,2721.99,7428.76,1699.54,1820.13,13449.68
1000,Maple Grill,2022-09-01,55870,2635,21.2,35.96,31.8,5.0,3.0,20090.85,17766.66,2793.5,1676.1,7475.16,2051.61,2711.1,1305.02
1000,Maple Grill,2022-10-01,76362,4038,18.91,30.41,29.45,5.0,3.0,23221.68,22488.61,3818.1,2290.86,5250.52,1545.74,2347.83,15398.66
1000,Maple Grill,2022-11-01,111687,6783,16.47,35.04,27.67,5.0,3.0,39135.12,30903.79,5584.35,3350.61,7640.0,1841.01,2740.95,20491.17
1000,Maple Grill,2022-12-01,110604,6945,15.93,28.39,31.03,5.0,3.0,31400.48,34320.42,5530.2,3318.12,7069.39,2434.33,2548.58,23982.48
1000,Maple Grill,2023-01-01,78287,4265,18.36,31.36,26.56,5.0,3.0,24550.8,20793.03,3914.35,2348.61,5425.46,2454.3,1543.2,17257.25
1000,Maple Grill,2023-02-01,64435,2826,22.8,32.1,31.81,5.0,3.0,20683.63,20496.77,3221.75,1933.05,4949.58,1472.65,1189.75,10487.82
1000,Maple Grill,2023-03-01,118015,5185,22.76,31.79,26.41,5.0,3.0,37516.97,31167.76,5900.75,3540.45,5202.49,2225.97,2243.85,30216.76
1000,Maple Grill,2023-04-01,60273,2795,21.56,35.14,28.02,5.0,3.0,21179.93,16888.49,3013.65,1808.19,4051.79,1500.43,2057.8,9772.72
1000,Maple Grill,2023-05-01,128146,5797,22.11,33.3,31.61,5.0,3.0,42672.62,40506.95,6407.3,3844.38,5761.53,2364.78,1676.45,24911.99
1000,Maple Grill,2023-06-01,141892,6393,22.19,28.65,30.04,5.0,3.0,40652.06,42624.36,7094.6,4256.76,5657.75,2151.48,1705.09,37749.9
1000,Maple Grill,2023-07-01,94867,4934,19.23,33.14,25.52,5.0,3.0,31438.92,24210.06,4743.35,2846.01,6212.99,1205.13,2762.02,21448.52
1000,Maple Grill,2023-08-01,144491,6172,23.41,28.63,28.95,5.0,3.0,41367.77,41830.14,7224.55,4334.73,7749.4,2429.21,2802.72,36752.48
1000,Maple Grill,2023-09-01,110481,4698,23.52,35.19,29.56,5.0,3.0,38878.26,32658.18,5524.05,3314.43,6971.64,1397.4,2515.91,19221.13
1000,Maple Grill,2023-10-01,100174,5908,16.96,34.08,29.81,5.0,3.0,34139.3,29861.87,5008.7,3005.22,6386.83,2322.95,2253.6,17195.53
1000,Maple Grill,2023-11-01,142968,8317,17.19,33.63,30.48,5.0,3.0,48080.14,43576.65,7148.4,4289.04,6233.3,1208.75,1545.87,30885.85
1000,Maple Grill,2023-12-01,114525,7232,15.84,33.62,27.37,5.0,3.0,38503.3,31345.49,5726.25,3435.75,5525.27,1246.52,2606.28,26136.14
1000,Maple Grill,2024-01-01,108325,6906,15.69,33.76,27.09,5.0,3.0,36570.52,29345.24,5416.25,3249.75,5533.51,1549.19,2212.13,24448.41
1000,Maple Grill,2024-02-01,61013,2644,23.08,31.42,25.37,5.0,3.0,19170.28,15479.0,3050.65,1830.39,7012.86,1924.7,2927.02,9618.1
1000,Maple Grill,2024-03-01,92276,4566,20.21,35.39,29.75,5.0,3.0,32656.48,27452.11,4613.8,2768.28,5011.34,1729.04,2434.06,15610.89
1000,Maple Grill,2024-04-01,75364,3029,24.88,32.09,26.94,5.0,3.0,24184.31,20303.06,3768.2,2260.92,7590.86,1410.06,2696.13,13150.46
1000,Maple Grill,2024-05-01,128644,5471,23.51,28.53,29.27,5.0,3.0,36702.13,37654.1,6432.2,3859.32,4761.76,2430.2,2607.18,34197.11
1000,Maple Grill,2024-06-01,91101,4458,20.44,34.01,25.3,5.0,3.0,30983.45,23048.55,4555.05,2733.03,4830.53,1786.63,1358.41,21805.35
1000,Maple Grill,2024-07-01,71475,2992,23.89,30.7,30.48,5.0,3.0,21942.83,21785.58,3573.75,2144.25,5035.97,1848.77,2881.97,12261.88
1000,Maple Grill,2024-08-01,90827,3912,23.22,33.86,26.11,5.0,3.0,30754.02,23714.93,4541.35,2724.81,5443.47,1782.87,1779.84,20085.71
1000,Maple Grill,2024-09-01,51378,2498,20.57,34.01,27.31,5.0,3.0,17473.66,14031.33,2568.9,1541.34,5584.9,1219.26,1105.52,7853.09
1000,Maple Grill,2024-10-01,117511,5154,22.8,35.68,28.63,5.0,3.0,41927.92,33643.4,5875.55,3525.33,4504.48,2416.73,1029.28,24588.31
1000,Maple Grill,2024-11-01,122028,6790,17.97,30.95,30.98,5.0,3.0,37767.67,37804.27,6101.4,3660.84,5773.84,1323.65,1013.0,28583.33
