Store_ID,Brand,Store_Name,Province,Region,Area_Type,Open_Date
1000,Maple Grill,Maple Grill Store 1,BC,West,Suburban,2020-02-01
1001,Maple Grill,Maple Grill Store 2,QC,Central,Rural,2021-08-01
1002,Maple Grill,Maple Grill Store 3,NS,Atlantic,Rural,2019-07-01
1003,Maple Grill,Maple Grill Store 4,SK,Prairies,Suburban,2021-01-01
1004,Maple Grill,Maple Grill Store 5,QC,Central,Urban,2020-11-01
1005,Maple Grill,Maple Grill Store 6,SK,Prairies,Rural,2019-09-01
1006,Maple Grill,Maple Grill Store 7,SK,Prairies,Suburban,2022-11-01
1007,Maple Grill,Maple Grill Store 8,ON,Central,Urban,2021-08-01
1008,Maple Grill,Maple Grill Store 9,BC,West,Rural,2020-12-01
1009,Maple Grill,Maple Grill Store 10,BC,West,Suburban,2020-09-01
1010,Maple Grill,Maple Grill Store 11,QC,Central,Rural,2021-09-01
1011,Maple Grill,Maple Grill Store 12,SK,Prairies,Rural,2022-06-01
1012,Maple Grill,Maple Grill Store 13,NS,Atlantic,Rural,2020-12-01
1013,Maple Grill,Maple Grill Store 14,AB,West,Suburban,2019-12-01
1014,Maple Grill,Maple Grill Store 15,MB,Prairies,Urban,2019-02-01
1015,Maple Grill,Maple Grill Store 16,MB,Prairies,Rural,2019-11-01
1016,Maple Grill,Maple Grill Store 17,AB,West,Suburban,2021-03-01
1017,Maple Grill,Maple Grill Store 18,MB,Prairies,Rural,2022-07-01
1018,Maple Grill,Maple Grill Store 19,MB,Prairies,Suburban,2021-07-01
1019,Maple Grill,Maple Grill Store 20,SK,Prairies,Rural,2022-01-01
1020,Coastal Catch,Coastal Catch Store 1,NS,Atlantic,Suburban,2021-01-01
1021,Coastal Catch,Coastal Catch Store 2,NS,Atlantic,Rural,2019-12-01
1022,Coastal Catch,Coastal Catch Store 3,NS,Atlantic,Rural,2020-12-01
1023,Coastal Catch,Coastal Catch Store 4,BC,West,Suburban,2021-02-01
1024,Coastal Catch,Coastal Catch Store 5,SK,Prairies,Urban,2022-03-01
1025,Coastal Catch,Coastal Catch Store 6,QC,Central,Urban,2022-01-01
1026,Coastal Catch,Coastal Catch Store 7,ON,Central,Urban,2022-08-01
1027,Coastal Catch,Coastal Catch Store 8,SK,Prairies,Rural,2019-12-01
1028,Coastal Catch,Coastal Catch Store 9,NS,Atlantic,Suburban,2019-11-01
1029,Coastal Catch,Coastal Catch Store 10,ON,Central,Urban,2022-12-01
1030,Coastal Catch,Coastal Catch Store 11,SK,Prairies,Urban,2021-07-01
1031,Coastal Catch,Coastal Catch Store 12,NS,Atlantic,Suburban,2019-12-01
1032,Coastal Catch,Coastal Catch Store 13,QC,Central,Urban,2022-01-01
1033,Coastal Catch,Coastal Catch Store 14,MB,Prairies,Suburban,2021-06-01
1034,Coastal Catch,Coastal Catch Store 15,BC,West,Rural,2022-12-01
1035,Coastal Catch,Coastal Catch Store 16,SK,Prairies,Urban,2020-04-01
1036,Coastal Catch,Coastal Catch Store 17,ON,Central,Urban,2020-03-01
1037,Coastal Catch,Coastal Catch Store 18,SK,Prairies,Rural,2020-03-01
1038,Coastal Catch,Coastal Catch Store 19,AB,West,Rural,2020-08-01
1039,Coastal Catch,Coastal Catch Store 20,AB,West,Rural,2022-11-01
1040,Morning Crate,Morning Crate Store 1,AB,West,Urban,2020-04-01
1041,Morning Crate,Morning Crate Store 2,MB,Prairies,Suburban,2019-08-01
1042,Morning Crate,Morning Crate Store 3,SK,Prairies,Rural,2019-03-01
1043,Morning Crate,Morning Crate Store 4,AB,West,Rural,2020-05-01
1044,Morning Crate,Morning Crate Store 5,MB,Prairies,Rural,2022-12-01
1045,Morning Crate,Morning Crate Store 6,NS,Atlantic,Suburban,2020-10-01
1046,Morning Crate,Morning Crate Store 7,QC,Central,Urban,2020-08-01
1047,Morning Crate,Morning Crate Store 8,QC,Central,Suburban,2020-04-01
1048,Morning Crate,Morning Crate Store 9,NS,Atlantic,Suburban,2020-03-01
1049,Morning Crate,Morning Crate Store 10,AB,West,Rural,2021-02-01
1050,Morning Crate,Morning Crate Store 11,NS,Atlantic,Rural,2020-09-01
1051,Morning Crate,Morning Crate Store 12,ON,Central,Rural,2022-11-01
1052,Morning Crate,Morning Crate Store 13,SK,Prairies,Suburban,2022-05-01
1053,Morning Crate,Morning Crate Store 14,ON,Central,Suburban,2022-02-01
1054,Morning Crate,Morning Crate Store 15,MB,Prairies,Rural,2021-05-01
1055,Morning Crate,Morning Crate Store 16,MB,Prairies,Suburban,2019-04-01
1056,Morning Crate,Morning Crate Store 17,MB,Prairies,Suburban,2022-10-01
1057,Morning Crate,Morning Crate Store 18,QC,Central,Rural,2020-09-01
1058,Morning Crate,Morning Crate Store 19,MB,Prairies,Suburban,2021-03-01
1059,Morning Crate,Morning Crate Store 20,AB,West,Suburban,2022-05-01
