Store_ID,Brand,Week,Item,Quantity_Purchased,Unit_Cost,Total_Cost,Ideal_Usage,Variance
1000,Maple Grill,2022-01-03,Beef Patty,46,6.13,281.98,33,13
1000,Maple Grill,2022-01-03,Cheddar Cheese,56,3.26,182.56,57,-1
1000,Maple Grill,2022-01-03,Buns,172,6.93,1191.96,170,2
1000,Maple Grill,2022-01-03,Fries,75,7.28,546.0,63,12
1000,Maple Grill,2022-01-03,Ketchup,81,3.45,279.45,69,12
1000,Maple Grill,2022-01-10,Beef Patty,109,6.51,709.59,110,-1
1000,Maple Grill,2022-01-10,Cheddar Cheese,84,7.01,588.84,81,3
1000,Maple Grill,2022-01-10,Buns,139,9.46,1314.94,126,13
1000,Maple Grill,2022-01-10,Fries,22,5.41,119.02,15,7
1000,Maple Grill,2022-01-10,Ketchup,143,5.36,766.48,147,-4
1000,Maple Grill,2022-01-17,Beef Patty,128,3.32,424.96,133,-5
1000,Maple Grill,2022-01-17,Cheddar Cheese,188,5.91,1111.08,179,9
1000,Maple Grill,2022-01-17,Buns,184,8.52,1567.68,176,8
1000,Maple Grill,2022-01-17,Fries,152,2.58,392.16,153,-1
1000,Maple Grill,2022-01-17,Ketchup,162,7.48,1211.76,154,8
1000,Maple Grill,2022-01-24,Beef Patty,72,2.31,166.32,76,-4
1000,Maple Grill,2022-01-24,Cheddar Cheese,149,5.05,752.45,151,-2
1000,Maple Grill,2022-01-24,Buns,55,9.5,522.5,43,12
1000,Maple Grill,2022-01-24,Fries,51,6.4,326.4,41,10
1000,Maple Grill,2022-01-24,Ketchup,37,3.26,120.62,37,0
1000,Maple Grill,2022-01-31,Beef Patty,197,4.6,906.2,186,11
1000,Maple Grill,2022-01-31,Cheddar Cheese,62,3.17,196.54,60,2
1000,Maple Grill,2022-01-31,Buns,72,5.43,390.96,63,9
1000,Maple Grill,2022-01-31,Fries,94,8.99,845.06,82,12
1000,Maple Grill,2022-01-31,Ketchup,120,9.2,1104.0,119,1
1000,Maple Grill,2022-02-07,Beef Patty,104,7.45,774.8,105,-1
1000,Maple Grill,2022-02-07,Cheddar Cheese,185,8.43,1559.55,178,7
1000,Maple Grill,2022-02-07,Buns,192,6.61,1269.12,197,-5
1000,Maple Grill,2022-02-07,Fries,164,8.19,1343.16,155,9
1000,Maple Grill,2022-02-07,Ketchup,150,9.49,1423.5,138,12
1000,Maple Grill,2022-02-14,Beef Patty,135,9.83,1327.05,131,4
1000,Maple Grill,2022-02-14,Cheddar Cheese,123,8.54,1050.42,125,-2
1000,Maple Grill,2022-02-14,Buns,25,2.65,66.25,17,8
1000,Maple Grill,2022-02-14,Fries,144,5.16,743.04,146,-2
1000,Maple Grill,2022-02-14,Ketchup,124,5.43,673.32,111,13
1000,Maple Grill,2022-02-21,Beef Patty,70,1.62,113.4,74,-4
1000,Maple Grill,2022-02-21,Cheddar Cheese,189,9.77,1846.53,177,12
1000,Maple Grill,2022-02-21,Buns,63,3.74,235.62,53,10
1000,Maple Grill,2022-02-21,Fries,171,4.49,767.79,164,7
1000,Maple Grill,2022-02-21,Ketchup,27,4.83,130.41,23,4
1000,Maple Grill,2022-02-28,Beef Patty,51,3.62,184.62,39,12
1000,Maple Grill,2022-02-28,Cheddar Cheese,106,6.69,709.14,97,9
1000,Maple Grill,2022-02-28,Buns,120,2.44,292.8,122,-2
1000,Maple Grill,2022-02-28,Fries,87,3.8,330.6,82,5
1000,Maple Grill,2022-02-28,Ketchup,63,8.93,562.59,50,13
1000,Maple Grill,2022-03-07,Beef Patty,67,7.51,503.17,56,11
1000,Maple Grill,2022-03-07,Cheddar Cheese,151,3.71,560.21,145,6
1000,Maple Grill,2022-03-07,Buns,183,7.03,1286.49,175,8
1000,Maple Grill,2022-03-07,Fries,117,9.61,1124.37,110,7
1000,Maple Grill,2022-03-07,Ketchup,165,9.21,1519.65,157,8
1000,Maple Grill,2022-03-14,Beef Patty,36,6.86,246.96,38,-2
1000,Maple Grill,2022-03-14,Cheddar Cheese,41,8.05,330.05,38,3
1000,Maple Grill,2022-03-14,Buns,93,8.74,812.82,92,1
1000,Maple Grill,2022-03-14,Fries,92,9.03,830.76,87,5
1000,Maple Grill,2022-03-14,Ketchup,190,9.31,1768.9,179,11
1000,Maple Grill,2022-03-21,Beef Patty,121,9.67,1170.07,119,2
1000,Maple Grill,2022-03-21,Cheddar Cheese,58,6.85,397.3,56,2
1000,Maple Grill,2022-03-21,Buns,84,7.29,612.36,88,-4
1000,Maple Grill,2022-03-21,Fries,35,8.55,299.25,33,2
1000,Maple Grill,2022-03-21,Ketchup,135,8.61,1162.35,123,12
1000,Maple Grill,2022-03-28,Beef Patty,38,2.36,89.68,26,12
1000,Maple Grill,2022-03-28,Cheddar Cheese,161,3.22,518.42,157,4
1000,Maple Grill,2022-03-28,Buns,121,4.72,571.12,125,-4
1000,Maple Grill,2022-03-28,Fries,79,1.54,121.66,71,8
1000,Maple Grill,2022-03-28,Ketchup,147,5.57,818.79,144,3
1000,Maple Grill,2022-04-04,Beef Patty,63,8.13,512.19,54,9
1000,Maple Grill,2022-04-04,Cheddar Cheese,39,2.12,82.68,31,8
1000,Maple Grill,2022-04-04,Buns,129,6.72,866.88,119,10
1000,Maple Grill,2022-04-04,Fries,40,4.32,172.8,27,13
1000,Maple Grill,2022-04-04,Ketchup,59,2.44,143.96,58,1
1000,Maple Grill,2022-04-11,Beef Patty,115,2.45,281.75,102,13
1000,Maple Grill,2022-04-11,Cheddar Cheese,155,8.3,1286.5,141,14
1000,Maple Grill,2022-04-11,Buns,139,4.54,631.06,131,8
1000,Maple Grill,2022-04-11,Fries,142,8.03,1140.26,147,-5
1000,Maple Grill,2022-04-11,Ketchup,118,3.11,366.98,120,-2
1000,Maple Grill,2022-04-18,Beef Patty,162,3.87,626.94,148,14
1000,Maple Grill,2022-04-18,Cheddar Cheese,80,4.72,377.6,67,13
1000,Maple Grill,2022-04-18,Buns,27,2.66,71.82,16,11
1000,Maple Grill,2022-04-18,Fries,116,9.47,1098.52,121,-5
1000,Maple Grill,2022-04-18,Ketchup,171,6.42,1097.82,166,5
1000,Maple Grill,2022-04-25,Beef Patty,164,9.56,1567.84,162,2
1000,Maple Grill,2022-04-25,Cheddar Cheese,148,4.36,645.28,138,10
1000,Maple Grill,2022-04-25,Buns,170,9.73,1654.1,169,1
1000,Maple Grill,2022-04-25,Fries,21,3.12,65.52,11,10
1000,Maple Grill,2022-04-25,Ketchup,176,8.17,1437.92,164,12
1000,Maple Grill,2022-05-02,Beef Patty,115,4.42,508.3,118,-3
1000,Maple Grill,2022-05-02,Cheddar Cheese,63,4.61,290.43,64,-1
1000,Maple Grill,2022-05-02,Buns,121,5.47,661.87,114,7
1000,Maple Grill,2022-05-02,Fries,65,2.28,148.2,70,-5
1000,Maple Grill,2022-05-02,Ketchup,49,1.95,95.55,45,4
1000,Maple Grill,2022-05-09,Beef Patty,154,9.97,1535.38,149,5
1000,Maple Grill,2022-05-09,Cheddar Cheese,57,8.04,458.28,50,7
